posicao,apelido,data,texto,idioma,pais,latitude,longitude,sigla,lugar,resumo
0,ronaldo2910,2020-05-22 02:09:03,"""... cômico ou trágico?... a direita toma cloroquina e a direita tubaína, enquanto o maluco beleza, demite a regina… https://t.co/tbpkmcetqh",pt,brazil,-48.0190701,-16.02267301,BR,brasília
1,tiagooportela,2020-05-22 13:35:23,"abi pergunta: a quem interessa uso da cloroquina? em barreiras, bahia, brazil https://t.co/v22ofggpza",pt,brazil,-44.995361,-12.148204,BR,barreiras
2,brunnocastro80,2020-05-24 00:29:22,cloroquina funciona ou não funciona? tire você mesmo as suas conclusões isso é se você é capaz disso !!!!! 🤷🏻‍♂️ou… https://t.co/fucqryewh2,pt,brazil,-43.10705,-22.90736071,BR,niterói
3,rgadvam,2020-05-26 21:07:39,"é cloroquina ou gasolina o que é usado no tratamento da covid 19 ?

https://t.co/l2k5ea18ax em manáos, amazonas, br… https://t.co/xwf0tmgafo",pt,brazil,-60.0253,-3.11333,BR,manaus
4,gustavoalex,2020-06-02 03:39:55,"se a tia da cloroquina pode, por que você não pode? #ods35 #façaasuaparte #covid19 #fiqueemcasa #bolsocorno🐃🐄🐂🤡… https://t.co/wssaxtbke5",pt,brazil,-51.18659482,-30.02221014,BR,porto alegre
5,micheleassisjp,2020-06-04 04:34:59,"onde estão aqueles que defendem o ""protocolo"" da oms? 🤫
#oms #covid19 #cloroquina #hidroxicloroquina #coronavirus… https://t.co/c4qzgs6yei",pt,brazil,-34.8627,-7.1207,BR,joão pessoa
6,fluriqui,2020-06-05 03:30:13,quantas pessoas poderiam ter sido salvas usando a cloroquina ?… https://t.co/r6r9xxb2hq,pt,brazil,-43.946127,-22.916373,BR,mangaratiba
